code,category,Year,value,areaName
W92000004,2,1950,2569,Wales
W92000004,3,1960,6411,Wales
W92000004,4,1970,10627,Wales
W92000004,5,1980,11628,Wales
W92000004,6,1990,12296,Wales
W92000004,7,2000,19049,Wales
W92000004,8,2010,62223,Wales
W92000004,9,2013,18505,Wales
W92000004,10,2016,25023,Wales
W92000004,11,2019,29782,Wales
W92000004,12,2021,17318,Wales
E12000001,2,1950,1424,North East
E12000001,3,1960,3641,North East
E12000001,4,1970,7876,North East
E12000001,5,1980,9196,North East
E12000001,6,1990,9681,North East
E12000001,7,2000,15726,North East
E12000001,8,2010,46641,North East
E12000001,9,2013,14479,North East
E12000001,10,2016,21339,North East
E12000001,11,2019,29978,North East
E12000001,12,2021,19162,North East
E12000002,2,1950,6543,North West
E12000002,3,1960,20040,North West
E12000002,4,1970,43209,North West
E12000002,5,1980,43855,North West
E12000002,6,1990,42845,North West
E12000002,7,2000,73858,North West
E12000002,8,2010,226747,North West
E12000002,9,2013,76989,North West
E12000002,10,2016,117313,North West
E12000002,11,2019,142831,North West
E12000002,12,2021,71175,North West
E12000003,2,1950,4300,Yorkshire and The Humber
E12000003,3,1960,13603,Yorkshire and The Humber
E12000003,4,1970,34876,Yorkshire and The Humber
E12000003,5,1980,34184,Yorkshire and The Humber
E12000003,6,1990,31806,Yorkshire and The Humber
E12000003,7,2000,54226,Yorkshire and The Humber
E12000003,8,2010,174791,Yorkshire and The Humber
E12000003,9,2013,57185,Yorkshire and The Humber
E12000003,10,2016,78464,Yorkshire and The Humber
E12000003,11,2019,91189,Yorkshire and The Humber
E12000003,12,2021,47636,Yorkshire and The Humber
E12000004,2,1950,5119,East Midlands
E12000004,3,1960,15428,East Midlands
E12000004,4,1970,39198,East Midlands
E12000004,5,1980,40826,East Midlands
E12000004,6,1990,30249,East Midlands
E12000004,7,2000,53570,East Midlands
E12000004,8,2010,186171,East Midlands
E12000004,9,2013,63113,East Midlands
E12000004,10,2016,92430,East Midlands
E12000004,11,2019,96680,East Midlands
E12000004,12,2021,46597,East Midlands
E12000005,2,1950,6488,West Midlands
E12000005,3,1960,26630,West Midlands
E12000005,4,1970,65483,West Midlands
E12000005,5,1980,53177,West Midlands
E12000005,6,1990,45108,West Midlands
E12000005,7,2000,79429,West Midlands
E12000005,8,2010,239402,West Midlands
E12000005,9,2013,76059,West Midlands
E12000005,10,2016,120792,West Midlands
E12000005,11,2019,129427,West Midlands
E12000005,12,2021,60440,West Midlands
E12000006,2,1950,8598,East of England
E12000006,3,1960,25845,East of England
E12000006,4,1970,49519,East of England
E12000006,5,1980,49361,East of England
E12000006,6,1990,49897,East of England
E12000006,7,2000,92558,East of England
E12000006,8,2010,270365,East of England
E12000006,9,2013,84951,East of England
E12000006,10,2016,118229,East of England
E12000006,11,2019,132647,East of England
E12000006,12,2021,62399,East of England
E12000007,2,1950,12294,London
E12000007,3,1960,61953,London
E12000007,4,1970,174547,London
E12000007,5,1980,201342,London
E12000007,6,1990,248576,London
E12000007,7,2000,498783,London
E12000007,8,2010,913894,London
E12000007,9,2013,308792,London
E12000007,10,2016,433789,London
E12000007,11,2019,501926,London
E12000007,12,2021,219846,London
E12000008,2,1950,17258,South East
E12000008,3,1960,39382,South East
E12000008,4,1970,81190,South East
E12000008,5,1980,81253,South East
E12000008,6,1990,79995,South East
E12000008,7,2000,152062,South East
E12000008,8,2010,418769,South East
E12000008,9,2013,127308,South East
E12000008,10,2016,173854,South East
E12000008,11,2019,196623,South East
E12000008,12,2021,94421,South East
E12000009,2,1950,9945,South West
E12000009,3,1960,20907,South West
E12000009,4,1970,33707,South West
E12000009,5,1980,29818,South West
E12000009,6,1990,29845,South West
E12000009,7,2000,49834,South West
E12000009,8,2010,157362,South West
E12000009,9,2013,52134,South West
E12000009,10,2016,73804,South West
E12000009,11,2019,83740,South West
E12000009,12,2021,40598,South West
W92000004,2,1950,2569,Wales
W92000004,3,1960,6411,Wales
W92000004,4,1970,10627,Wales
W92000004,5,1980,11628,Wales
W92000004,6,1990,12296,Wales
W92000004,7,2000,19049,Wales
W92000004,8,2010,62223,Wales
W92000004,9,2013,18505,Wales
W92000004,10,2016,25023,Wales
W92000004,11,2019,29782,Wales
W92000004,12,2021,17318,Wales
