code,category,shortDesc,value,areaName
W92000004,-8,N/A,0,Wales
W92000004,1,born,2892064,Wales
W92000004,2,pre1951,2569,Wales
W92000004,3,1951_1960,6411,Wales
W92000004,4,1961_1970,10627,Wales
W92000004,5,1971_1980,11628,Wales
W92000004,6,1981_1990,12296,Wales
W92000004,7,1991_2000,19049,Wales
W92000004,8,2001_2010,62223,Wales
W92000004,9,2011_2013,18505,Wales
W92000004,10,2014_2016,25023,Wales
W92000004,11,2017_2019,29782,Wales
W92000004,12,2020_2021,17318,Wales
E12000001,-8,N/A,0,North East
E12000001,1,born,2467870,North East
E12000001,2,pre1951,1424,North East
E12000001,3,1951_1960,3641,North East
E12000001,4,1961_1970,7876,North East
E12000001,5,1971_1980,9196,North East
E12000001,6,1981_1990,9681,North East
E12000001,7,1991_2000,15726,North East
E12000001,8,2001_2010,46641,North East
E12000001,9,2011_2013,14479,North East
E12000001,10,2014_2016,21339,North East
E12000001,11,2017_2019,29978,North East
E12000001,12,2020_2021,19162,North East
E12000002,-8,N/A,0,North West
E12000002,1,born,6551993,North West
E12000002,2,pre1951,6543,North West
E12000002,3,1951_1960,20040,North West
E12000002,4,1961_1970,43209,North West
E12000002,5,1971_1980,43855,North West
E12000002,6,1981_1990,42845,North West
E12000002,7,1991_2000,73858,North West
E12000002,8,2001_2010,226747,North West
E12000002,9,2011_2013,76989,North West
E12000002,10,2014_2016,117313,North West
E12000002,11,2017_2019,142831,North West
E12000002,12,2020_2021,71175,North West
E12000003,-8,N/A,0,Yorkshire and The Humber
E12000003,1,born,4858514,Yorkshire and The Humber
E12000003,2,pre1951,4300,Yorkshire and The Humber
E12000003,3,1951_1960,13603,Yorkshire and The Humber
E12000003,4,1961_1970,34876,Yorkshire and The Humber
E12000003,5,1971_1980,34184,Yorkshire and The Humber
E12000003,6,1981_1990,31806,Yorkshire and The Humber
E12000003,7,1991_2000,54226,Yorkshire and The Humber
E12000003,8,2001_2010,174791,Yorkshire and The Humber
E12000003,9,2011_2013,57185,Yorkshire and The Humber
E12000003,10,2014_2016,78464,Yorkshire and The Humber
E12000003,11,2017_2019,91189,Yorkshire and The Humber
E12000003,12,2020_2021,47636,Yorkshire and The Humber
E12000004,-8,N/A,0,East Midlands
E12000004,1,born,4210674,East Midlands
E12000004,2,pre1951,5119,East Midlands
E12000004,3,1951_1960,15428,East Midlands
E12000004,4,1961_1970,39198,East Midlands
E12000004,5,1971_1980,40826,East Midlands
E12000004,6,1981_1990,30249,East Midlands
E12000004,7,1991_2000,53570,East Midlands
E12000004,8,2001_2010,186171,East Midlands
E12000004,9,2011_2013,63113,East Midlands
E12000004,10,2014_2016,92430,East Midlands
E12000004,11,2017_2019,96680,East Midlands
E12000004,12,2020_2021,46597,East Midlands
E12000005,-8,N/A,0,West Midlands
E12000005,1,born,5048322,West Midlands
E12000005,2,pre1951,6488,West Midlands
E12000005,3,1951_1960,26630,West Midlands
E12000005,4,1961_1970,65483,West Midlands
E12000005,5,1971_1980,53177,West Midlands
E12000005,6,1981_1990,45108,West Midlands
E12000005,7,1991_2000,79429,West Midlands
E12000005,8,2001_2010,239402,West Midlands
E12000005,9,2011_2013,76059,West Midlands
E12000005,10,2014_2016,120792,West Midlands
E12000005,11,2017_2019,129427,West Midlands
E12000005,12,2020_2021,60440,West Midlands
E12000006,-8,N/A,0,East of England
E12000006,1,born,5390705,East of England
E12000006,2,pre1951,8598,East of England
E12000006,3,1951_1960,25845,East of England
E12000006,4,1961_1970,49519,East of England
E12000006,5,1971_1980,49361,East of England
E12000006,6,1981_1990,49897,East of England
E12000006,7,1991_2000,92558,East of England
E12000006,8,2001_2010,270365,East of England
E12000006,9,2011_2013,84951,East of England
E12000006,10,2014_2016,118229,East of England
E12000006,11,2017_2019,132647,East of England
E12000006,12,2020_2021,62399,East of England
E12000007,-8,N/A,0,London
E12000007,1,born,5223986,London
E12000007,2,pre1951,12294,London
E12000007,3,1951_1960,61953,London
E12000007,4,1961_1970,174547,London
E12000007,5,1971_1980,201342,London
E12000007,6,1981_1990,248576,London
E12000007,7,1991_2000,498783,London
E12000007,8,2001_2010,913894,London
E12000007,9,2011_2013,308792,London
E12000007,10,2014_2016,433789,London
E12000007,11,2017_2019,501926,London
E12000007,12,2020_2021,219846,London
E12000008,-8,N/A,0,South East
E12000008,1,born,7815950,South East
E12000008,2,pre1951,17258,South East
E12000008,3,1951_1960,39382,South East
E12000008,4,1961_1970,81190,South East
E12000008,5,1971_1980,81253,South East
E12000008,6,1981_1990,79995,South East
E12000008,7,1991_2000,152062,South East
E12000008,8,2001_2010,418769,South East
E12000008,9,2011_2013,127308,South East
E12000008,10,2014_2016,173854,South East
E12000008,11,2017_2019,196623,South East
E12000008,12,2020_2021,94421,South East
E12000009,-8,N/A,0,South West
E12000009,1,born,5119492,South West
E12000009,2,pre1951,9945,South West
E12000009,3,1951_1960,20907,South West
E12000009,4,1961_1970,33707,South West
E12000009,5,1971_1980,29818,South West
E12000009,6,1981_1990,29845,South West
E12000009,7,1991_2000,49834,South West
E12000009,8,2001_2010,157362,South West
E12000009,9,2011_2013,52134,South West
E12000009,10,2014_2016,73804,South West
E12000009,11,2017_2019,83740,South West
E12000009,12,2020_2021,40598,South West
