theme,code,category,value,areaName
ukLanguage,W92000004,-8,89322,Wales
ukLanguage,W92000004,1,2917644,Wales
ukLanguage,W92000004,2,43242,Wales
ukLanguage,W92000004,3,35120,Wales
ukLanguage,W92000004,4,18494,Wales
ukLanguage,W92000004,5,3672,Wales
ukLanguage,E12000001,-8,77559,North East
ukLanguage,E12000001,1,2478459,North East
ukLanguage,E12000001,2,38889,North East
ukLanguage,E12000001,3,32039,North East
ukLanguage,E12000001,4,16775,North East
ukLanguage,E12000001,5,3292,North East
ukLanguage,E12000002,-8,239026,North West
ukLanguage,E12000002,1,6697979,North West
ukLanguage,E12000002,2,184921,North West
ukLanguage,E12000002,3,178299,North West
ukLanguage,E12000002,4,98318,North West
ukLanguage,E12000002,5,18854,North West
ukLanguage,E12000003,-8,174907,Yorkshire and The Humber
ukLanguage,E12000003,1,4943714,Yorkshire and The Humber
ukLanguage,E12000003,2,131289,Yorkshire and The Humber
ukLanguage,E12000003,3,138703,Yorkshire and The Humber
ukLanguage,E12000003,4,77864,Yorkshire and The Humber
ukLanguage,E12000003,5,14297,Yorkshire and The Humber
ukLanguage,E12000004,-8,147123,East Midlands
ukLanguage,E12000004,1,4340514,East Midlands
ukLanguage,E12000004,2,152698,East Midlands
ukLanguage,E12000004,3,148414,East Midlands
ukLanguage,E12000004,4,75320,East Midlands
ukLanguage,E12000004,5,15985,East Midlands
ukLanguage,E12000005,-8,196407,West Midlands
ukLanguage,E12000005,1,5235726,West Midlands
ukLanguage,E12000005,2,197094,West Midlands
ukLanguage,E12000005,3,193368,West Midlands
ukLanguage,E12000005,4,107188,West Midlands
ukLanguage,E12000005,5,20974,West Midlands
ukLanguage,E12000006,-8,203944,East of England
ukLanguage,E12000006,1,5676753,East of England
ukLanguage,E12000006,2,211005,East of England
ukLanguage,E12000006,3,164756,East of England
ukLanguage,E12000006,4,67595,East of England
ukLanguage,E12000006,5,11021,East of England
ukLanguage,E12000007,-8,317065,London
ukLanguage,E12000007,1,6650973,London
ukLanguage,E12000007,2,840463,London
ukLanguage,E12000007,3,636226,London
ukLanguage,E12000007,4,303265,London
ukLanguage,E12000007,5,51736,London
ukLanguage,E12000008,-8,288234,South East
ukLanguage,E12000008,1,8340941,South East
ukLanguage,E12000008,2,329801,South East
ukLanguage,E12000008,3,221477,South East
ukLanguage,E12000008,4,82360,South East
ukLanguage,E12000008,5,15252,South East
ukLanguage,E12000009,-8,159690,South West
ukLanguage,E12000009,1,5287113,South West
ukLanguage,E12000009,2,126140,South West
ukLanguage,E12000009,3,90157,South West
ukLanguage,E12000009,4,32603,South West
ukLanguage,E12000009,5,5481,South West
ukLanguage,W92000004,-8,89322,Wales
ukLanguage,W92000004,1,2917644,Wales
ukLanguage,W92000004,2,43242,Wales
ukLanguage,W92000004,3,35120,Wales
ukLanguage,W92000004,4,18494,Wales
ukLanguage,W92000004,5,3672,Wales
householdLanguage,W92000004,-8,0,Wales
householdLanguage,W92000004,1,1295565,Wales
householdLanguage,W92000004,2,20463,Wales
householdLanguage,W92000004,3,6594,Wales
householdLanguage,W92000004,4,24492,Wales
householdLanguage,E12000001,-8,0,North East
householdLanguage,E12000001,1,1129214,North East
householdLanguage,E12000001,2,17288,North East
householdLanguage,E12000001,3,6136,North East
householdLanguage,E12000001,4,23042,North East
householdLanguage,E12000002,-8,0,North West
householdLanguage,E12000002,1,2911839,North West
householdLanguage,E12000002,2,94204,North West
householdLanguage,E12000002,3,30645,North West
householdLanguage,E12000002,4,116713,North West
householdLanguage,E12000003,-8,0,Yorkshire and The Humber
householdLanguage,E12000003,1,2145957,Yorkshire and The Humber
householdLanguage,E12000003,2,72571,Yorkshire and The Humber
householdLanguage,E12000003,3,23192,Yorkshire and The Humber
householdLanguage,E12000003,4,88938,Yorkshire and The Humber
householdLanguage,E12000004,-8,0,East Midlands
householdLanguage,E12000004,1,1855943,East Midlands
householdLanguage,E12000004,2,61206,East Midlands
householdLanguage,E12000004,3,24234,East Midlands
householdLanguage,E12000004,4,95949,East Midlands
householdLanguage,E12000005,-8,0,West Midlands
householdLanguage,E12000005,1,2172805,West Midlands
householdLanguage,E12000005,2,106075,West Midlands
householdLanguage,E12000005,3,32806,West Midlands
householdLanguage,E12000005,4,117807,West Midlands
householdLanguage,E12000006,-8,0,East of England
householdLanguage,E12000006,1,2401435,East of England
householdLanguage,E12000006,2,87916,East of England
householdLanguage,E12000006,3,33057,East of England
householdLanguage,E12000006,4,106374,East of England
householdLanguage,E12000007,-8,0,London
householdLanguage,E12000007,1,2505008,London
householdLanguage,E12000007,2,384154,London
householdLanguage,E12000007,3,111855,London
householdLanguage,E12000007,4,422873,London
householdLanguage,E12000008,-8,0,South East
householdLanguage,E12000008,1,3481554,South East
householdLanguage,E12000008,2,138797,South East
householdLanguage,E12000008,3,44590,South East
householdLanguage,E12000008,4,143025,South East
householdLanguage,E12000009,-8,0,South West
householdLanguage,E12000009,1,2316582,South West
householdLanguage,E12000009,2,54060,South West
householdLanguage,E12000009,3,16893,South West
householdLanguage,E12000009,4,61346,South West
householdLanguage,W92000004,-8,0,Wales
householdLanguage,W92000004,1,1295565,Wales
householdLanguage,W92000004,2,20463,Wales
householdLanguage,W92000004,3,6594,Wales
householdLanguage,W92000004,4,24492,Wales
mainLanguage,W92000004,-8,89322,Wales
mainLanguage,W92000004,1,2917644,Wales
mainLanguage,W92000004,2,0,Wales
mainLanguage,W92000004,3,40,Wales
mainLanguage,W92000004,4,10,Wales
mainLanguage,W92000004,5,4,Wales
mainLanguage,W92000004,6,8,Wales
mainLanguage,W92000004,7,7,Wales
mainLanguage,W92000004,8,28,Wales
mainLanguage,W92000004,9,1,Wales
mainLanguage,W92000004,10,51,Wales
mainLanguage,W92000004,11,5,Wales
mainLanguage,W92000004,12,1628,Wales
mainLanguage,W92000004,13,3644,Wales
mainLanguage,W92000004,14,3065,Wales
mainLanguage,W92000004,15,2367,Wales
mainLanguage,W92000004,16,1213,Wales
mainLanguage,W92000004,17,20862,Wales
mainLanguage,W92000004,18,1416,Wales
mainLanguage,W92000004,19,1277,Wales
mainLanguage,W92000004,20,6020,Wales
mainLanguage,W92000004,21,1780,Wales
mainLanguage,W92000004,22,488,Wales
mainLanguage,W92000004,23,2152,Wales
mainLanguage,W92000004,24,2489,Wales
mainLanguage,W92000004,25,1414,Wales
mainLanguage,W92000004,26,553,Wales
mainLanguage,W92000004,27,240,Wales
mainLanguage,W92000004,28,102,Wales
mainLanguage,W92000004,29,82,Wales
mainLanguage,W92000004,30,68,Wales
mainLanguage,W92000004,31,67,Wales
mainLanguage,W92000004,32,75,Wales
mainLanguage,W92000004,33,136,Wales
mainLanguage,W92000004,34,442,Wales
mainLanguage,W92000004,35,97,Wales
mainLanguage,W92000004,36,6,Wales
mainLanguage,W92000004,37,260,Wales
mainLanguage,W92000004,38,208,Wales
mainLanguage,W92000004,39,10,Wales
mainLanguage,W92000004,40,0,Wales
mainLanguage,W92000004,41,1345,Wales
mainLanguage,W92000004,42,2327,Wales
mainLanguage,W92000004,43,8515,Wales
mainLanguage,W92000004,44,54,Wales
mainLanguage,W92000004,45,1850,Wales
mainLanguage,W92000004,46,1436,Wales
mainLanguage,W92000004,47,542,Wales
mainLanguage,W92000004,48,144,Wales
mainLanguage,W92000004,49,2239,Wales
mainLanguage,W92000004,50,638,Wales
mainLanguage,W92000004,51,2086,Wales
mainLanguage,W92000004,52,3,Wales
mainLanguage,W92000004,53,4671,Wales
mainLanguage,W92000004,54,751,Wales
mainLanguage,W92000004,55,157,Wales
mainLanguage,W92000004,56,558,Wales
mainLanguage,W92000004,57,1635,Wales
mainLanguage,W92000004,58,2018,Wales
mainLanguage,W92000004,59,298,Wales
mainLanguage,W92000004,60,1076,Wales
mainLanguage,W92000004,61,459,Wales
mainLanguage,W92000004,62,989,Wales
mainLanguage,W92000004,63,1571,Wales
mainLanguage,W92000004,64,4331,Wales
mainLanguage,W92000004,65,343,Wales
mainLanguage,W92000004,66,225,Wales
mainLanguage,W92000004,67,421,Wales
mainLanguage,W92000004,68,888,Wales
mainLanguage,W92000004,69,252,Wales
mainLanguage,W92000004,70,1772,Wales
mainLanguage,W92000004,71,228,Wales
mainLanguage,W92000004,72,22,Wales
mainLanguage,W92000004,73,4,Wales
mainLanguage,W92000004,74,1,Wales
mainLanguage,W92000004,75,9,Wales
mainLanguage,W92000004,76,180,Wales
mainLanguage,W92000004,77,501,Wales
mainLanguage,W92000004,78,867,Wales
mainLanguage,W92000004,79,3,Wales
mainLanguage,W92000004,80,55,Wales
mainLanguage,W92000004,81,120,Wales
mainLanguage,W92000004,82,103,Wales
mainLanguage,W92000004,83,110,Wales
mainLanguage,W92000004,84,14,Wales
mainLanguage,W92000004,85,52,Wales
mainLanguage,W92000004,86,166,Wales
mainLanguage,W92000004,87,185,Wales
mainLanguage,W92000004,88,51,Wales
mainLanguage,W92000004,89,167,Wales
mainLanguage,W92000004,90,277,Wales
mainLanguage,W92000004,91,893,Wales
mainLanguage,W92000004,92,155,Wales
mainLanguage,W92000004,93,188,Wales
mainLanguage,W92000004,94,280,Wales
mainLanguage,E12000001,-8,77559,North East
mainLanguage,E12000001,1,2478459,North East
mainLanguage,E12000001,2,120,North East
mainLanguage,E12000001,3,12,North East
mainLanguage,E12000001,4,15,North East
mainLanguage,E12000001,5,0,North East
mainLanguage,E12000001,6,6,North East
mainLanguage,E12000001,7,1,North East
mainLanguage,E12000001,8,39,North East
mainLanguage,E12000001,9,0,North East
mainLanguage,E12000001,10,15,North East
mainLanguage,E12000001,11,0,North East
mainLanguage,E12000001,12,1508,North East
mainLanguage,E12000001,13,2556,North East
mainLanguage,E12000001,14,2876,North East
mainLanguage,E12000001,15,2057,North East
mainLanguage,E12000001,16,914,North East
mainLanguage,E12000001,17,9660,North East
mainLanguage,E12000001,18,1460,North East
mainLanguage,E12000001,19,1931,North East
mainLanguage,E12000001,20,6101,North East
mainLanguage,E12000001,21,1221,North East
mainLanguage,E12000001,22,452,North East
mainLanguage,E12000001,23,786,North East
mainLanguage,E12000001,24,939,North East
mainLanguage,E12000001,25,1741,North East
mainLanguage,E12000001,26,411,North East
mainLanguage,E12000001,27,185,North East
mainLanguage,E12000001,28,61,North East
mainLanguage,E12000001,29,88,North East
mainLanguage,E12000001,30,34,North East
mainLanguage,E12000001,31,65,North East
mainLanguage,E12000001,32,41,North East
mainLanguage,E12000001,33,57,North East
mainLanguage,E12000001,34,652,North East
mainLanguage,E12000001,35,131,North East
mainLanguage,E12000001,36,7,North East
mainLanguage,E12000001,37,174,North East
mainLanguage,E12000001,38,301,North East
mainLanguage,E12000001,39,0,North East
mainLanguage,E12000001,40,4,North East
