code,areaName,category,ukLanguage,householdLanguage
W92000004,Wales,-8,89322,0
W92000004,Wales,1,2917644,1295565
W92000004,Wales,2,43242,20463
W92000004,Wales,3,35120,6594
W92000004,Wales,4,18494,24492
W92000004,Wales,5,3672,
E12000001,North East,-8,77559,0
E12000001,North East,1,2478459,1129214
E12000001,North East,2,38889,17288
E12000001,North East,3,32039,6136
E12000001,North East,4,16775,23042
E12000001,North East,5,3292,
E12000002,North West,-8,239026,0
E12000002,North West,1,6697979,2911839
E12000002,North West,2,184921,94204
E12000002,North West,3,178299,30645
E12000002,North West,4,98318,116713
E12000002,North West,5,18854,
E12000003,Yorkshire and The Humber,-8,174907,0
E12000003,Yorkshire and The Humber,1,4943714,2145957
E12000003,Yorkshire and The Humber,2,131289,72571
E12000003,Yorkshire and The Humber,3,138703,23192
E12000003,Yorkshire and The Humber,4,77864,88938
E12000003,Yorkshire and The Humber,5,14297,
E12000004,East Midlands,-8,147123,0
E12000004,East Midlands,1,4340514,1855943
E12000004,East Midlands,2,152698,61206
E12000004,East Midlands,3,148414,24234
E12000004,East Midlands,4,75320,95949
E12000004,East Midlands,5,15985,
E12000005,West Midlands,-8,196407,0
E12000005,West Midlands,1,5235726,2172805
E12000005,West Midlands,2,197094,106075
E12000005,West Midlands,3,193368,32806
E12000005,West Midlands,4,107188,117807
E12000005,West Midlands,5,20974,
E12000006,East of England,-8,203944,0
E12000006,East of England,1,5676753,2401435
E12000006,East of England,2,211005,87916
E12000006,East of England,3,164756,33057
E12000006,East of England,4,67595,106374
E12000006,East of England,5,11021,
E12000007,London,-8,317065,0
E12000007,London,1,6650973,2505008
E12000007,London,2,840463,384154
E12000007,London,3,636226,111855
E12000007,London,4,303265,422873
E12000007,London,5,51736,
E12000008,South East,-8,288234,0
E12000008,South East,1,8340941,3481554
E12000008,South East,2,329801,138797
E12000008,South East,3,221477,44590
E12000008,South East,4,82360,143025
E12000008,South East,5,15252,
E12000009,South West,-8,159690,0
E12000009,South West,1,5287113,2316582
E12000009,South West,2,126140,54060
E12000009,South West,3,90157,16893
E12000009,South West,4,32603,61346
E12000009,South West,5,5481,
