code,category,shortDesc,value,areaName,ukLanguage_category1,percentMainEng
W92000004,-8,N/A,0,Wales,,
W92000004,1,all,1295565,Wales,2917644,96.67%
W92000004,2,adult1plus,20463,Wales,,
W92000004,3,child1plus,6594,Wales,,
W92000004,4,none,24492,Wales,,
E12000001,-8,N/A,0,North East,,
E12000001,1,all,1129214,North East,2478459,96.46%
E12000001,2,adult1plus,17288,North East,,
E12000001,3,child1plus,6136,North East,,
E12000001,4,none,23042,North East,,
E12000002,-8,N/A,0,North West,,
E12000002,1,all,2911839,North West,6697979,93.31%
E12000002,2,adult1plus,94204,North West,,
E12000002,3,child1plus,30645,North West,,
E12000002,4,none,116713,North West,,
E12000003,-8,N/A,0,Yorkshire and The Humber,,
E12000003,1,all,2145957,Yorkshire and The Humber,4943714,93.17%
E12000003,2,adult1plus,72571,Yorkshire and The Humber,,
E12000003,3,child1plus,23192,Yorkshire and The Humber,,
E12000003,4,none,88938,Yorkshire and The Humber,,
E12000004,-8,N/A,0,East Midlands,,
E12000004,1,all,1855943,East Midlands,4340514,91.71%
E12000004,2,adult1plus,61206,East Midlands,,
E12000004,3,child1plus,24234,East Midlands,,
E12000004,4,none,95949,East Midlands,,
E12000005,-8,N/A,0,West Midlands,,
E12000005,1,all,2172805,West Midlands,5235726,90.99%
E12000005,2,adult1plus,106075,West Midlands,,
E12000005,3,child1plus,32806,West Midlands,,
E12000005,4,none,117807,West Midlands,,
E12000006,-8,N/A,0,East of England,,
E12000006,1,all,2401435,East of England,5676753,92.59%
E12000006,2,adult1plus,87916,East of England,,
E12000006,3,child1plus,33057,East of England,,
E12000006,4,none,106374,East of England,,
E12000007,-8,N/A,0,London,,
E12000007,1,all,2505008,London,6650973,78.41%
E12000007,2,adult1plus,384154,London,,
E12000007,3,child1plus,111855,London,,
E12000007,4,none,422873,London,,
E12000008,-8,N/A,0,South East,,
E12000008,1,all,3481554,South East,8340941,92.78%
E12000008,2,adult1plus,138797,South East,,
E12000008,3,child1plus,44590,South East,,
E12000008,4,none,143025,South East,,
E12000009,-8,N/A,0,South West,,
E12000009,1,all,2316582,South West,5287113,95.41%
E12000009,2,adult1plus,54060,South West,,
E12000009,3,child1plus,16893,South West,,
E12000009,4,none,61346,South West,,
