code,category,value,areaName
W92000004,-8,28336,Wales
W92000004,0,2786728,Wales
W92000004,1,19992,Wales
W92000004,2,256103,Wales
W92000004,3,16335,Wales
E12000001,-8,24771,North East
E12000001,0,2354973,North East
E12000001,1,18706,North East
E12000001,2,231915,North East
E12000001,3,16645,North East
E12000002,-8,76480,North West
E12000002,0,6604650,North West
E12000002,1,42491,North West
E12000002,2,633575,North West
E12000002,3,60201,North West
E12000003,-8,55940,Yorkshire and The Humber
E12000003,0,4860781,Yorkshire and The Humber
E12000003,1,37085,Yorkshire and The Humber
E12000003,2,487855,Yorkshire and The Humber
E12000003,3,39113,Yorkshire and The Humber
E12000004,-8,46880,East Midlands
E12000004,0,4304625,East Midlands
E12000004,1,37144,East Midlands
E12000004,2,454162,East Midlands
E12000004,3,37243,East Midlands
E12000005,-8,63168,West Midlands
E12000005,0,5313779,West Midlands
E12000005,1,29713,West Midlands
E12000005,2,498097,West Midlands
E12000005,3,46000,West Midlands
E12000006,-8,64810,East of England
E12000006,0,5621053,East of England
E12000006,1,23875,East of England
E12000006,2,572756,East of England
E12000006,3,52580,East of England
E12000007,-8,104232,London
E12000007,0,7547990,London
E12000007,1,43831,London
E12000007,2,954144,London
E12000007,3,149532,London
E12000008,-8,91706,South East
E12000008,0,8121277,South East
E12000008,1,54403,South East
E12000008,2,925470,South East
E12000008,3,85208,South East
E12000009,-8,50998,South West
E12000009,0,4980674,South West
E12000009,1,41833,South West
E12000009,2,585443,South West
E12000009,3,42238,South West
