code,category,value,areaName,percentMainEng
W92000004,-8,89322,Wales,
W92000004,1,2917644,Wales,96.67
W92000004,2,43242,Wales,
W92000004,3,35120,Wales,
W92000004,4,18494,Wales,
W92000004,5,3672,Wales,
E12000001,-8,77559,North East,
E12000001,1,2478459,North East,96.46
E12000001,2,38889,North East,
E12000001,3,32039,North East,
E12000001,4,16775,North East,
E12000001,5,3292,North East,
E12000002,-8,239026,North West,
E12000002,1,6697979,North West,93.31
E12000002,2,184921,North West,
E12000002,3,178299,North West,
E12000002,4,98318,North West,
E12000002,5,18854,North West,
E12000003,-8,174907,Yorkshire and The Humber,
E12000003,1,4943714,Yorkshire and The Humber,93.17
E12000003,2,131289,Yorkshire and The Humber,
E12000003,3,138703,Yorkshire and The Humber,
E12000003,4,77864,Yorkshire and The Humber,
E12000003,5,14297,Yorkshire and The Humber,
E12000004,-8,147123,East Midlands,
E12000004,1,4340514,East Midlands,91.71
E12000004,2,152698,East Midlands,
E12000004,3,148414,East Midlands,
E12000004,4,75320,East Midlands,
E12000004,5,15985,East Midlands,
E12000005,-8,196407,West Midlands,
E12000005,1,5235726,West Midlands,90.99
E12000005,2,197094,West Midlands,
E12000005,3,193368,West Midlands,
E12000005,4,107188,West Midlands,
E12000005,5,20974,West Midlands,
E12000006,-8,203944,East of England,
E12000006,1,5676753,East of England,92.59
E12000006,2,211005,East of England,
E12000006,3,164756,East of England,
E12000006,4,67595,East of England,
E12000006,5,11021,East of England,
E12000007,-8,317065,London,
E12000007,1,6650973,London,78.41
E12000007,2,840463,London,
E12000007,3,636226,London,
E12000007,4,303265,London,
E12000007,5,51736,London,
E12000008,-8,288234,South East,
E12000008,1,8340941,South East,92.78
E12000008,2,329801,South East,
E12000008,3,221477,South East,
E12000008,4,82360,South East,
E12000008,5,15252,South East,
E12000009,-8,159690,South West,
E12000009,1,5287113,South West,95.41
E12000009,2,126140,South West,
E12000009,3,90157,South West,
E12000009,4,32603,South West,
E12000009,5,5481,South West,
