code,category,value,areaName
W92000004,-8,89322,Wales
W92000004,0,2479876,Wales
W92000004,1,538296,Wales
E12000001,-8,2647013,North East
E12000001,0,0,North East
E12000001,1,0,North East
E12000002,-8,7417397,North West
E12000002,0,0,North West
E12000002,1,0,North West
E12000003,-8,5480774,Yorkshire and The Humber
E12000003,0,0,Yorkshire and The Humber
E12000003,1,0,Yorkshire and The Humber
E12000004,-8,4880054,East Midlands
E12000004,0,0,East Midlands
E12000004,1,0,East Midlands
E12000005,-8,5950757,West Midlands
E12000005,0,0,West Midlands
E12000005,1,0,West Midlands
E12000006,-8,6335074,East of England
E12000006,0,0,East of England
E12000006,1,0,East of England
E12000007,-8,8799728,London
E12000007,0,0,London
E12000007,1,0,London
E12000008,-8,9278068,South East
E12000008,0,0,South East
E12000008,1,0,South East
E12000009,-8,5701186,South West
E12000009,0,0,South West
E12000009,1,0,South West
